Nome,Idade,Localização,Amigos,Id,Sobrenome,Email,Data de Nascimento,Hobbies,Linguagem de Programação,Jogos Favoritos,ano_nascimento,Estado
Carlos,30.0,"('Belo Horizonte', 'MG')","['João', 'Marcos', 'Caio']",m2lxm6f4,Não Informado,,,,,,1994.0,MG
Pedro,26.0,"('Belo Horizonte', 'MG')","['João', 'Aline']",3e5h4ajn,Não Informado,,,,,,1998.0,MG
Bruno,18.0,"('Belo Horizonte', 'MG')",,ae994746,Barbosa Souza,bruno0@freemail.com,2006-01-01,"['viagem', 'cinema', 'futebol']","['Swift', 'C#', 'Go', 'Kotlin', 'PHP']","[('Overwatch', 'PC'), ('GTA V', 'PlayStation 4'), ('The Witcher 3', 'Xbox One'), ('Minecraft', 'PC')]",2006.0,MG
Sofia,46.0,"('Juiz de Fora', 'MG')",,c34e2389,Araújo Carvalho Rodrigues,sofia6@example.com,1978-04-09,"['viagem', 'pintura']",[],[],1978.0,MG
Pedro,,"('Belo Horizonte', 'MG')",,0f18226f,Silva,pedrog@webmail.net,1984-04-26,['leitura'],"['Python', 'C++', 'Ruby', 'C#', 'Swift']",[],,MG
Larissa,36.0,"('Juiz de Fora', 'MG')",,aaa1efc2,Almeida Rodrigues,larissah1@randommail.com,1988-06-06,['fotografia'],"['Python', 'C++', 'Java', 'Go']","[('The Witcher 3', 'Xbox One'), ('Among Us', 'Mobile')]",1988.0,MG
Pedro,31.0,"('Juiz de Fora', 'MG')",,7ba461b8,Carvalho Araújo,pedrog@mailservice.com,1993-03-22,"['futebol', 'fotografia', 'natação', 'leitura', 'cozinhar']","['Kotlin', 'Java', 'Swift', 'Ruby', 'Go']","[('Fortnite', 'PlayStation 4')]",1993.0,MG
Fernanda,29.0,"('Juiz de Fora', 'MG')",,bef7ca70,Correia,fernandac@example.com,,[],"['Python', 'C#', 'PHP', 'JavaScript']","[('Minecraft', 'PC'), ('Overwatch', 'PC'), ('Valorant', 'PC'), ('Cyberpunk 2077', 'PC'), ('GTA V', 'PlayStation 4')]",1995.0,MG
Larissa,33.0,"('Juiz de Fora', 'MG')",,aae18988,Gomes Moraes,larissawvv@fastmail.com,1991-03-11,"['ciclismo', 'natação', 'música', 'cinema', 'viagem']",[],"[('GTA V', 'PlayStation 4'), ('League of Legends', 'PC'), ('Apex Legends', 'PC'), ('Valorant', 'PC'), ('Cyberpunk 2077', 'PC')]",1991.0,MG
Pedro,20.0,"('Juiz de Fora', 'MG')",,73f40cb3,Souza Oliveira,pedrosq@fastmail.com,2003-11-12,"['música', 'natação', 'ciclismo']","['Go', 'PHP']","[('Fortnite', 'PlayStation 4'), ('Overwatch', 'PC'), ('Among Us', 'Mobile'), ('Valorant', 'PC'), ('The Witcher 3', 'Xbox One')]",2004.0,MG
