Nome,Idade,Localização,Amigos,Id,Sobrenome,Email,Data de Nascimento,Hobbies,Linguagem de Programação,Jogos Favoritos,ano_nascimento,Estado
Ana,22.0,"('São Paulo', 'SP')","['João', 'Fernanda']",1u172vil,Não Informado,,,,,,2002.0,SP
Lívia,24.0,"('São Paulo', 'SP')","['Clara', 'Lucas', 'Marcos']",3c16nau5,Não Informado,,,,,,2000.0,SP
Sofia,21.0,"('Campinas', 'SP')","['Rafaela', 'Fernanda']",fcc8xa38,Não Informado,,,,,,2003.0,SP
Juliana,25.0,"('São Paulo', 'SP')","['Rafaela', 'Sofia', 'Marcos']",20a8ua3e,Não Informado,,,,,,1999.0,SP
Thiago,31.0,"('São Paulo', 'SP')","['João', 'Amanda', 'Lucas', 'Clara']",nfazdfm3,Não Informado,,,,,,1993.0,SP
Leonardo,29.0,"('Campinas', 'SP')","['Renata', 'Mateus', 'Caio']",q2qetbxr,Não Informado,,,,,,1995.0,SP
Fernanda,19.0,"('Campinas', 'SP')",,fdcd788f,Gomes,fernanda29h@inbox.org,"Dec 10, 1999","['fotografia', 'cozinhar', 'futebol']",[],"[('GTA V', 'PlayStation 4'), ('Valorant', 'PC'), ('Fortnite', 'PlayStation 4'), ('Minecraft', 'PC'), ('The Witcher 3', 'Xbox One')]",2005.0,SP
Luís,26.0,"('Campinas', 'SP')",,9042cede,Costa Fernandes,luísy8x@mailservice.com,1998-08-18,"['natação', 'viagem', 'cinema', 'ciclismo', 'cozinhar']","['PHP', 'Java', 'Python']","[('The Witcher 3', 'Xbox One'), ('GTA V', 'PlayStation 4'), ('League of Legends', 'PC'), ('Apex Legends', 'PC'), ('Minecraft', 'PC')]",1998.0,SP
Bruno,43.0,"('Campinas', 'SP')",,a7c04195,Pereira,bruno8@randommail.com,1981-04-14,"['música', 'cozinhar', 'cinema']","['Swift', 'Python', 'Ruby', 'Go', 'Java']","[('Cyberpunk 2077', 'PC'), ('Among Us', 'Mobile'), ('Valorant', 'PC'), ('Overwatch', 'PC'), ('League of Legends', 'PC')]",1981.0,SP
Lucas,45.0,"('São Paulo', 'SP')",,0050be84,Souza Almeida,lucas5@randommail.com,1979-08-03,"['música', 'viagem', 'cinema', 'natação', 'fotografia']","['C#', 'C++']","[('Cyberpunk 2077', 'PC'), ('Valorant', 'PC'), ('League of Legends', 'PC'), ('GTA V', 'PlayStation 4'), ('Overwatch', 'PC')]",1979.0,SP
Rafael,27.0,"('São Paulo', 'SP')",,00705400,Carvalho,rafaelpc4@freemail.com,1997-01-06,['pintura'],['PHP'],"[('The Witcher 3', 'Xbox One'), ('Overwatch', 'PC')]",1997.0,SP
Lucas,25.0,"('São Paulo', 'SP')",,94eccf56,Carvalho Santos Fernandes,lucas8qn@example.com,1999-09-04,['música'],"['Swift', 'PHP', 'JavaScript']","[('Among Us', 'Mobile'), ('League of Legends', 'PC'), ('The Witcher 3', 'Xbox One'), ('Overwatch', 'PC')]",1999.0,SP
Pedro,18.0,"('Campinas', 'SP')",,addf7b94,Almeida,pedro9@randommail.com,2006-05-04,"['música', 'cozinhar', 'fotografia', 'viagem', 'natação']","['C#', 'JavaScript', 'PHP']",[],2006.0,SP
Lucas,30.0,"('São Paulo', 'SP')",,b7a070b0,Dias Martins Lima,lucaso0p@freemail.com,1994-05-21,"['viagem', 'leitura', 'cozinhar', 'futebol']","['C#', 'Go', 'Java']",[],1994.0,SP
Luís,30.0,"('São Paulo', 'SP')",,0c6a9216,Ribeiro Lima Rodrigues,luísu@mailservice.com,1993-11-14,"['leitura', 'ciclismo', 'futebol', 'fotografia']","['C#', 'PHP', 'Go', 'Python', 'JavaScript']","[('Apex Legends', 'PC'), ('Valorant', 'PC')]",1994.0,SP
Camila,24.0,"('Campinas', 'SP')",,52f3cc71,Pereira Martins Rodrigues,camila9x@mailservice.com,2000-01-06,[],"['JavaScript', 'Kotlin', 'PHP', 'Python']","[('Among Us', 'Mobile'), ('Fortnite', 'PlayStation 4'), ('Minecraft', 'PC'), ('League of Legends', 'PC'), ('Overwatch', 'PC')]",2000.0,SP
Luís,45.0,"('São Paulo', 'SP')",,2844aa20,Carvalho Fernandes Pereira,luís2fk@webmail.net,1979-09-02,[],"['Go', 'C#']",[],1979.0,SP
Carlos,27.0,"('São Paulo', 'SP')",,c3288a3e,Santos Gomes,carlosaa2@randommail.com,1997-05-17,"['cozinhar', 'pintura']",[],"[('League of Legends', 'PC'), ('Apex Legends', 'PC'), ('Cyberpunk 2077', 'PC')]",1997.0,SP
Carlos,22.0,"('Campinas', 'SP')",,4894e523,Rocha Martins Souza,carlos4@mailservice.com,2002-08-09,[],['Go'],"[('The Witcher 3', 'Xbox One')]",2002.0,SP
Ana,35.0,"('São Paulo', 'SP')",,44be4413,Rocha Carvalho Correia,anauuy@inbox.org,1989-04-27,[],"['Kotlin', 'Ruby']","[('League of Legends', 'PC'), ('GTA V', 'PlayStation 4'), ('Overwatch', 'PC'), ('Minecraft', 'PC'), ('The Witcher 3', 'Xbox One')]",1989.0,SP
Guilherme,42.0,"('Campinas', 'SP')",,f01ab056,Oliveira Barbosa,guilhermea3@fastmail.com,1981-11-13,['cinema'],"['Go', 'Java', 'Swift', 'C++']",[],1982.0,SP
Julia,47.0,"('São Paulo', 'SP')",,1052a137,Almeida Lima Carvalho,juliagwf@fastmail.com,1976-12-21,"['fotografia', 'música', 'futebol']",[],"[('Fortnite', 'PlayStation 4'), ('The Witcher 3', 'Xbox One')]",1977.0,SP
Lucas,41.0,"('Campinas', 'SP')",,e839133b,Rocha Gomes Correia,lucas1x@mailservice.com,,"['futebol', 'fotografia']","['Kotlin', 'JavaScript']",[],1983.0,SP
Lucas,33.0,"('São Paulo', 'SP')",,df928c7b,Moraes Almeida,lucasn@webmail.net,1991-06-10,[],['C#'],[],1991.0,SP
